	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
29	160.115	3.0	163.124	2.0	Old12	Enc23	1	5	0.9209999999999999
30	165.113	3.0	168.122	1.0	Old03	Enc24	1	8	0.747
31	169.125	3.0	172.13400000000001	3.0	Old47	Enc25	1	5	0.887
32	175.12599999999998	3.0	178.135	3.5	Old64	Enc26	1	9	1.03
33	181.62900000000002	3.0	184.638	0.5	False	CTL08	0	6	0.5670000000000001
34	185.139	3.0	188.148	1.5	False	CTL09	0	9	0.753
35	189.636	3.0	192.645	9.5	False	CTL10	0	8	0.6559999999999999
36	202.14	3.0	205.149	2.0	False	CTL11	0	5	0.599
37	207.138	3.0	210.14700000000002	2.0	Old41	Enc27	1	8	0.5770000000000001
38	212.137	3.0	215.146	1.0	False	CTL12	0	9	0.618
39	216.149	3.0	219.158	0.5	Old19	Enc28	1	9	0.6859999999999999
40	219.65900000000002	3.0	222.668	0.5	False	CTL13	0	6	0.56
41	223.17	3.0	226.179	2.0	Old28	Enc29	1	8	0.6729999999999999
42	228.168	3.0	231.17700000000002	4.5	Old54	Enc30	1	6	0.971
43	235.674	3.0	238.683	3.5	Old10	Enc31	1	9	0.84
44	242.176	3.0	245.185	8.0	Old70	Enc32	1	6	0.722
45	253.176	3.0	256.185	9.0	Old16	Enc33	1	9	0.746
46	265.178	3.0	268.187	0.5	Old17	Enc34	1	6	0.96
47	268.689	3.0	271.698	2.5	False	CTL14	0	6	0.825
48	274.189	3.0	277.198	8.5	Old66	Enc35	1	5	0.868
49	285.69	3.0	288.699	0.5	Old04	Enc36	1	9	1.031
50	289.2	3.0	292.209	5.5	Old09	Enc37	1	8	1.041
51	297.709	3.0	300.718	3.0	Old51	Enc38	1	6	1.084
52	303.71	3.0	306.719	4.0	False	CTL15	0	6	1.051
53	310.715	3.0	313.724	6.5	False	CTL16	0	9	0.517
54	320.226	3.0	323.235	0.5	Old63	Enc39	1	6	0.638
55	323.737	3.0	326.746	11.0	Old62	Enc40	1	5	0.855
56	338.24699999999996	3.0	341.256	9.5	Old72	Enc41	1	6	0.993
57	350.751	3.0	353.76	1.0	False	CTL17	0	8	0.56
58	354.76300000000003	3.0	357.772	5.5	Old53	Enc42	1	9	1.068
59	363.272	3.0	366.281	1.5	Old26	Enc43	1	8	1.071
60	367.76800000000003	3.0	370.777	1.0	Old34	Enc44	1	9	1.031
61	371.764	3.0	374.773	2.0	False	CTL18	0	9	0.9229999999999999
62	376.76199999999983	3.0	379.77099999999996	3.5	Old24	Enc45	1	8	1.053
63	383.265	3.0	386.274	1.5	Old31	Enc46	1	9	0.47
64	387.76099999999997	3.0	390.77	0.5	False	CTL19	0	8	0.7979999999999999
65	391.272	3.0	394.281	2.5	False	CTL20	0	5	0.59
66	396.772	3.0	399.781	0.5	False	CTL21	0	5	0.578
67	400.282	3.0	403.291	2.5	False	CTL22	0	8	0.5720000000000001
68	405.782	3.0	408.791	2.0	False	CTL23	0	9	0.68
69	410.78	3.0	413.789	11.0	False	CTL24	0	8	0.562
70	424.789	3.0	427.798	1.0	Old29	Enc47	1	6	0.945
71	428.801	3.0	431.81	1.5	Old06	Enc48	1	6	0.628
72	433.29699999999997	3.0	436.306	0.5	Old40	Enc49	1	8	0.836
73	436.80800000000005	3.0	439.81699999999995	0.5	Old44	Enc50	1	9	0.821
74	440.31800000000004	3.0	443.327	2.0	Old08	Enc51	1	6	0.703
75	445.31699999999995	3.0	448.32599999999996	1.0	False	CTL25	0	9	0.648
76	449.329	3.0	452.338	2.0	False	CTL26	0	5	0.516
77	454.327	3.0	457.336	4.0	Old46	Enc52	1	5	0.0
