	Condition	CorrectSource	Stim_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
60	1	9	2.233	385.23199999999997	3.0	388.241	8.0	Old34	Enc43
61	0	5	1.0090000000000001	396.231	3.0	399.24	1.5	False	CTL19
62	1	5	2.056	400.728	3.0	403.73699999999997	5.0	Old52	Enc44
63	0	8	1.209	408.735	3.0	411.744	1.0	False	CTL20
64	0	9	0.557	412.74699999999996	3.0	415.756	3.0	False	CTL21
65	1	6	1.899	418.74800000000005	3.0	421.75699999999983	5.0	Old59	Enc45
66	0	8	1.276	426.755	3.0	429.764	0.5	False	CTL22
67	1	9	2.622	430.265	3.0	433.274	1.5	Old53	Enc46
68	1	6	2.677	434.76199999999983	3.0	437.77099999999996	0.5	Old49	Enc47
69	1	9	2.414	438.273	3.0	441.282	2.0	Old36	Enc48
70	1	6	1.639	443.27099999999996	3.0	446.28	1.5	Old20	Enc49
71	1	8	1.686	447.76800000000003	3.0	450.776	1.0	Old03	Enc50
72	1	9	1.955	451.779	3.0	454.788	2.5	Old61	Enc51
73	1	8	2.375	457.279	3.0	460.288	5.5	Old75	Enc52
74	0	9	1.121	465.788	3.0	468.79699999999997	2.5	False	CTL23
75	1	9	2.1180000000000003	471.287	3.0	474.296	1.5	Old17	Enc53
76	0	6	2.085	475.784	3.0	478.793	0.5	False	CTL24
77	1	5	2.294	479.295	3.0	482.30400000000003	3.0	Old66	Enc54
78	1	8	2.125	485.296	3.0	488.305	3.5	Old29	Enc55
79	1	5	2.0540000000000003	491.798	3.0	494.80699999999996	7.5	Old39	Enc56
80	1	6	1.82	502.296	3.0	505.305	2.5	Old48	Enc57
81	0	6	1.12	507.796	3.0	510.805	0.5	False	CTL25
82	1	5	2.162	511.306	3.0	514.315	1.0	Old14	Enc58
83	1	6	1.781	515.302	3.0	518.311	4.0	Old44	Enc59
84	1	8	2.137	522.306	3.0	525.315	11.0	Old70	Enc60
85	0	6	1.099	536.816	3.0	539.825	0.5	False	CTL26
86	0	9	1.084	540.326	3.0	543.335	4.0	False	CTL27
87	0	5	1.3359999999999999	547.33	3.0	550.339	0.5	False	CTL28
88	1	5	2.105	550.841	3.0	553.85	2.5	Old30	Enc61
89	1	5	1.646	556.34	3.0	559.349	3.0	Old65	Enc62
90	0	8	1.364	562.342	3.0	565.35	1.0	False	CTL29
91	1	5	2.336	566.3530000000002	3.0	569.362	2.0	Old12	Enc63
92	1	9	1.8090000000000002	571.352	3.0	574.361	0.5	Old04	Enc64
93	0	9	1.6030000000000002	574.862	3.0	577.871	7.0	False	CTL30
94	1	9	1.703	584.8580000000002	3.0	587.867	0.5	Old58	Enc65
95	1	5	1.744	588.369	3.0	591.378	0.5	Old46	Enc66
96	0	6	1.545	591.879	3.0	594.888	0.5	False	CTL31
97	0	5	0.634	595.39	3.0	598.399	1.5	False	CTL32
98	1	8	1.6980000000000002	599.886	3.0	602.895	3.0	Old54	Enc67
99	1	6	2.952	605.888	3.0	608.8969999999998	1.5	Old33	Enc68
100	0	5	1.416	610.384	3.0	613.393	4.5	False	CTL33
101	0	8	1.101	617.89	3.0	620.899	0.5	False	CTL34
102	1	6	2.079	621.4	3.0	624.409	8.0	Old09	Enc69
103	1	5	1.8630000000000002	632.4	3.0	635.409	1.0	Old57	Enc70
104	0	8	1.395	636.4119999999998	3.0	639.4209999999998	4.5	False	CTL35
105	0	6	0.705	643.9169999999998	3.0	646.9259999999998	2.0	False	CTL36
106	1	6	1.514	648.9159999999998	3.0	651.925	1.0	Old73	Enc71
107	1	8	2.23	652.928	3.0	655.936	2.0	Old11	Enc72
108	0	5	1.24	657.926	3.0	660.935	2.0	False	CTL37
109	0	8	1.0979999999999999	662.924	3.0	665.933	10.0	False	CTL38
110	1	9	2.092	675.929	3.0	678.938	3.5	Old72	Enc73
111	1	8	2.149	682.432	3.0	685.441	9.0	Old16	Enc74
112	0	9	1.0979999999999999	694.434	3.0	697.443	0.5	False	CTL39
113	1	9	1.643	697.945	3.0	700.954	7.0	Old50	Enc75
114	1	6	0.0	707.941	3.0	710.95	12.0	Old56	Enc76
115	1	5	2.3819999999999997	723.437	3.0	726.446	2.5	Old31	Enc77
116	1	6	1.986	728.937	3.0	731.946	18.0	Old25	Enc78
