trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
34	enc	enc22	old19	9	2	745	0	194.547	197.548	1
35	enc	enc23	old09	6	2	556	0	198.547	201.547	10
36	enc	enc24	old16	8	2	1038	0	211.546	214.546	1.5
37	enc	enc25	old75	8	2	1196	0	216.046	219.046	0.5
38	enc	enc26	old23	9	2	1111	0	219.545	222.545	2.5
39	enc	enc27	old72	5	2	891	0	225.045	228.045	3.5
40	enc	enc28	old28	6	2	625	0	231.545	234.544	1
41	ctl	ctl10	nan	9	2	726	0	235.544	238.544	0.5
42	ctl	ctl11	nan	6	2	721	0	239.044	242.044	1.5
43	ctl	ctl12	nan	6	2	755	0	243.544	246.543	7
44	ctl	ctl13	nan	5	2	511	0	253.543	256.543	7
45	enc	enc29	old66	9	2	648	0	263.542	266.542	2
46	enc	enc30	old70	8	2	762	0	268.542	271.541	6.5
47	ctl	ctl14	nan	9	2	611	0	278.041	281.041	3.5
48	enc	enc31	old36	6	2	604	0	284.54	287.54	2.5
49	enc	enc32	old07	6	2	864	0	290.04	293.04	4
50	enc	enc33	old12	9	2	889	0	297.039	300.039	3.5
51	enc	enc34	old55	8	2	730	0	303.539	306.539	1
52	ctl	ctl15	nan	8	2	517	0	307.539	310.538	6.5
53	enc	enc35	old11	9	2	516	0	317.038	320.038	7.5
54	ctl	ctl16	nan	9	2	661	0	327.537	330.537	2.5
55	ctl	ctl17	nan	8	2	551	0	333.037	336.036	1.5
56	enc	enc36	old62	8	2	841	0	337.536	340.536	1
57	enc	enc37	old17	9	2	802	0	341.536	344.536	3
58	enc	enc38	old42	6	2	843	0	347.535	350.535	2.5
59	ctl	ctl18	nan	5	2	536	0	353.035	356.035	1
60	enc	enc39	old21	5	2	574	0	357.035	360.034	9
61	enc	enc40	old15	6	2	663	0	369.034	372.034	1.5
62	enc	enc41	old69	6	2	549	0	373.533	376.533	8.5
63	enc	enc42	old29	8	2	575	0	385.033	388.032	8
64	enc	enc43	old37	9	2	1037	0	396.032	399.031	1.5
65	ctl	ctl19	nan	5	2	791	0	400.531	403.531	5
66	enc	enc44	old52	5	2	1037	0	408.531	411.53	1
67	ctl	ctl20	nan	8	2	998	0	412.53	415.53	3
68	ctl	ctl21	nan	9	2	695	0	418.53	421.53	5
69	enc	enc45	old54	6	2	603	0	426.529	429.529	0.5
70	ctl	ctl22	nan	8	2	579	0	430.029	433.029	1.5
71	enc	enc46	old63	9	2	656	0	434.529	437.528	0.5
72	enc	enc47	old49	6	2	807	0	438.028	441.028	2
73	enc	enc48	old33	9	2	815	0	443.028	446.028	1.5
74	enc	enc49	old22	6	2	542	0	447.528	450.527	1
75	enc	enc50	old10	8	2	656	0	451.527	454.527	2.5
76	enc	enc51	old59	9	2	949	0	457.027	460.027	5.5
77	enc	enc52	old76	8	2	781	0	465.526	468.526	2.5
78	ctl	ctl23	nan	9	2	682	0	471.026	474.026	1.5
79	enc	enc53	old26	9	2	558	0	475.525	478.525	0.5
80	ctl	ctl24	nan	6	2	566	0	479.025	482.025	3
81	enc	enc54	old68	5	2	854	0	485.025	488.024	3.5
82	enc	enc55	old30	8	2	871	0	491.524	494.524	7.5
83	enc	enc56	old32	5	2	681	0	502.023	505.023	2.5
84	enc	enc57	old40	6	2	831	0	507.523	510.523	0.5
85	ctl	ctl25	nan	6	2	676	0	511.023	514.022	1
86	enc	enc58	old24	5	2	702	0	515.022	518.022	4
87	enc	enc59	old41	6	2	764	0	522.022	525.022	11.5
88	enc	enc60	old71	8	2	754	0	536.521	539.52	0.5
89	ctl	ctl26	nan	6	2	602	0	540.02	543.02	4
90	ctl	ctl27	nan	9	2	742	0	547.02	550.02	0.5
91	ctl	ctl28	nan	5	2	503	0	550.52	553.519	2.5
92	enc	enc61	old39	5	2	570	0	556.019	559.019	3
93	enc	enc62	old64	5	2	656	0	562.019	565.018	1
94	ctl	ctl29	nan	8	2	588	0	566.018	569.018	2
95	enc	enc63	old02	5	2	876	0	571.018	574.018	0.5
96	enc	enc64	old13	9	2	972	0	574.518	577.517	7
97	ctl	ctl30	nan	9	nan	0	1	584.517	587.517	0.5
98	enc	enc65	old60	9	2	903	0	588.017	591.016	0.5
99	enc	enc66	old43	5	2	910	0	591.516	594.516	0.5
100	ctl	ctl31	nan	6	2	868	0	595.016	598.016	1.5
101	ctl	ctl32	nan	5	2	631	0	599.516	602.516	3
102	enc	enc67	old53	8	2	655	0	605.515	608.515	1.5
103	enc	enc68	old34	6	2	713	0	610.015	613.015	4.5
104	ctl	ctl33	nan	5	2	551	0	617.514	620.514	0.5
105	ctl	ctl34	nan	8	2	934	0	621.014	624.014	8
106	enc	enc69	old08	6	2	654	0	632.013	635.013	1
107	enc	enc70	old65	5	2	540	0	636.013	639.013	4.5
108	ctl	ctl35	nan	8	2	754	0	643.512	646.512	2
109	ctl	ctl36	nan	6	2	498	0	648.512	651.512	1
110	enc	enc71	old73	6	2	507	0	652.512	655.511	2
111	enc	enc72	old04	8	2	833	0	657.511	660.511	2
112	ctl	ctl37	nan	5	2	592	0	662.511	665.511	10
113	ctl	ctl38	nan	8	2	460	0	675.51	678.51	3.5
114	enc	enc73	old74	9	2	713	0	682.009	685.009	9
115	enc	enc74	old25	8	2	740	0	694.008	697.008	0.5
116	ctl	ctl39	nan	9	2	661	0	697.508	700.508	7
117	enc	enc75	old48	9	2	719	0	707.507	710.507	12.5
118	enc	enc76	old58	6	2	699	0	723.006	726.006	2.5
119	enc	enc77	old31	5	2	760	0	728.506	731.505	18.5
120	enc	enc78	old18	6	2	895	0			
