trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
63	enc	enc44	old38	9	1	1367	0	379.226	382.235	2.5
64	enc	enc45	old22	8	1	1049	0	384.726	387.735	8.5
65	enc	enc46	old35	9	1	1253	0	396.227	399.236	5.5
66	enc	enc47	old32	6	1	1135	0	404.736	407.745	2
67	enc	enc48	old03	6	1	1162	0	409.734	412.743	6
68	enc	enc49	old49	8	1	1580	0	418.744	421.753	6
69	enc	enc50	old46	9	1	1218	0	427.754	430.763	1.5
70	enc	enc51	old07	6	1	1223	0	432.251	435.26	2
71	ctl	ctl17	nan	8	1	990	0	437.249	440.258	1.5
72	enc	enc52	old47	5	1	1272	0	441.746	444.755	4
73	ctl	ctl18	nan	9	1	943	0	448.75	451.759	0.5
74	ctl	ctl19	nan	8	1	731	0	452.261	455.27	6
75	ctl	ctl20	nan	5	1	715	0	461.271	464.28	0.5
76	enc	enc53	old63	9	1	1305	0	464.781	467.79	2.5
77	enc	enc54	old48	8	1	1475	0	470.281	473.29	1.5
78	enc	enc55	old62	8	1	1231	0	474.778	477.787	2.5
79	enc	enc56	old27	6	1	1510	0	480.277	483.286	5.5
80	ctl	ctl21	nan	5	1	730	0	488.786	491.795	4.5
81	enc	enc57	old57	9	1	1389	0	496.292	499.301	2.5
82	ctl	ctl22	nan	8	1	675	0	501.791	504.8	6.5
83	enc	enc58	old68	9	1	1168	0	511.286	514.295	6.5
84	ctl	ctl23	nan	9	1	728	0	520.781	523.79	1.5
85	ctl	ctl24	nan	8	1	753	0	525.278	528.287	4.5
86	ctl	ctl25	nan	9	1	672	0	532.784	535.793	1.5
87	ctl	ctl26	nan	5	1	750	0	537.281	540.289	0.5
88	enc	enc59	old60	5	1	1164	0	540.791	543.8	10.5
89	ctl	ctl27	nan	6	1	710	0	554.298	557.307	4.5
90	ctl	ctl28	nan	6	1	723	0	561.804	564.813	2
91	enc	enc60	old54	8	1	1081	0	566.802	569.811	1.5
92	ctl	ctl29	nan	9	1	786	0	571.299	574.307	12.5
93	enc	enc61	old01	8	1	1201	0	586.795	589.804	2
94	enc	enc62	old33	5	1	1313	0	591.793	594.802	1
95	enc	enc63	old73	8	1	1203	0	595.805	598.814	4
96	ctl	ctl30	nan	8	1	910	0	602.809	605.818	0.5
97	enc	enc64	old71	9	1	954	0	606.32	609.328	4
98	enc	enc65	old75	8	1	667	0	613.324	616.333	3.5
99	enc	enc66	old76	8	1	983	0	619.826	622.835	1
100	ctl	ctl31	nan	8	1	713	0	623.822	626.831	0.5
101	ctl	ctl32	nan	5	1	773	0	627.332	630.341	2.5
102	enc	enc67	old12	5	1	1046	0	632.832	635.841	0.5
103	ctl	ctl33	nan	9	1	682	0	636.342	639.351	9
104	ctl	ctl34	nan	9	1	740	0	648.345	651.354	2
105	ctl	ctl35	nan	6	1	641	0	653.343	656.352	0.5
106	enc	enc68	old05	9	1	1163	0	656.853	659.862	2
107	ctl	ctl36	nan	6	1	732	0	661.852	664.861	4.5
108	ctl	ctl37	nan	5	1	733	0	669.357	672.366	4.5
109	ctl	ctl38	nan	6	1	636	0	676.863	679.872	3.5
110	enc	enc69	old29	5	1	1354	0	683.366	686.375	1.5
111	enc	enc70	old40	9	1	1474	0	687.862	690.871	4.5
112	enc	enc71	old28	8	1	1634	0	695.368	698.377	0.5
113	enc	enc72	old15	6	1	1392	0	698.879	701.888	0.5
114	enc	enc73	old66	9	1	1737	0	702.389	705.398	5
115	ctl	ctl39	nan	9	1	747	0	710.396	713.405	4.5
116	enc	enc74	old43	5	1	1308	0	717.902	720.911	5.5
117	enc	enc75	old50	6	1	1385	0	726.411	729.42	1
118	enc	enc76	old24	5	1	1860	0	730.423	733.432	0.5
119	enc	enc77	old37	5	1	1944	0	733.933	736.942	13.5
120	enc	enc78	old26	8	1	1114	0			
