trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	onset	fix_onset	fix_duration
103	ctl	ctl33	nan	9	2	794	0	636.008	639.007	9
104	ctl	ctl34	nan	9	2	1057	0	648.007	651.006	2
105	ctl	ctl35	nan	6	2	785	0	653.006	656.006	0.5
106	enc	enc68	old09	9	2	812	0	656.506	659.506	2
107	ctl	ctl36	nan	6	2	802	0	661.506	664.505	4.5
108	ctl	ctl37	nan	5	2	763	0	669.005	672.005	4.5
109	ctl	ctl38	nan	6	2	773	0	676.504	679.504	3.5
110	enc	enc69	old30	5	2	1470	0	683.004	686.004	1.5
111	enc	enc70	old51	9	2	1867	0	687.503	690.503	4.5
112	enc	enc71	old33	8	2	908	0	695.003	698.003	0.5
113	enc	enc72	old21	6	2	2238	0	698.503	701.502	0.5
114	enc	enc73	old73	9	2	1240	0	702.002	705.002	5
115	ctl	ctl39	nan	9	2	1507	0	710.002	713.001	4.5
116	enc	enc74	old44	5	2	1891	0	717.501	720.501	5.5
117	enc	enc75	old43	6	2	1284	0	726	729	1
118	enc	enc76	old24	5	2	1199	0	730	733	0.5
119	enc	enc77	old27	5	2	1125	0	733.5	736.499	13.5
120	enc	enc78	old23	8	2	1156	0			
