trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	CorrectSource	Stim_RT	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
75	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	490.4980000000001	3.0	493.4980000000001	8.0	CTL23	9.0	1.986	6.9990000000000805	3.4990000000000805	3.5	497.4970000000002	0.0	3.4990000000000805	3.5	493.4980000000001
76	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	501.497	3.0	504.497	3.0	CTL24	6.0	0.987	21.99799999999982	10.99899999999991	10.99899999999991	523.4949999999999	0.0	10.99899999999991	10.99899999999991	504.497
80	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	522.495	3.0	525.495	5.0	CTL25	6.0	0.962	13.998000000000047	6.999000000000024	6.999000000000024	536.493	0.0	6.999000000000024	6.999000000000024	525.495
82	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	540.994	3.0	543.994	1.0	CTL26	6.0	1.439	20.999000000000024	10.499000000000024	10.5	561.993	0.0	10.499000000000024	10.5	543.994
83	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	544.993	3.0	547.993	1.5	CTL27	9.0	2.005	7.998000000000047	3.999000000000024	3.999000000000024	552.9910000000001	0.0	3.999000000000024	3.999000000000024	547.993
87	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	562.492	3.0	565.492	1.0	CTL28	5.0	1.509	10.0	5.0	5.0	572.492	0.0	5.0	5.0	565.492
88	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	566.492	3.0	569.491	5.0	CTL29	8.0	0.989	7.999000000000024	4.0	3.999000000000024	574.491	0.0	4.0	3.999000000000024	569.491
89	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	574.491	3.0	577.491	2.0	CTL30	9.0	0.49	15.999000000000024	7.999000000000024	8.0	590.49	0.0	7.999000000000024	8.0	577.491
90	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	579.49	3.0	582.49	5.5	CTL31	6.0	0.491	9.998000000000047	4.999000000000024	4.999000000000024	589.488	0.0	4.999000000000024	4.999000000000024	582.49
92	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	591.489	3.0	594.489	8.0	CTL32	5.0	0.991	6.999000000000024	3.499000000000024	3.5	598.488	0.0	3.499000000000024	3.5	594.489
94	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	606.488	3.0	609.488	0.5	CTL33	5.0	0.992	8.0	4.0	4.0	614.488	0.0	4.0	4.0	609.488
100	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	642.485	3.0	645.485	1.0	CTL34	8.0	2.4930000000000003	7.0	3.5	3.5	649.485	0.0	3.5	3.5	645.485
103	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	656.4839999999998	3.0	659.4830000000002	2.0	CTL35	8.0	0.994	7.999000000000137	3.9999999999997726	3.9990000000003647	664.483	0.0	3.9999999999997726	3.9990000000003647	659.4830000000002
104	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	661.4830000000002	3.0	664.4830000000002	0.5	CTL36	6.0	0.995	9.999000000000365	4.999000000000365	5.0	671.4820000000005	0.0	4.999000000000365	5.0	664.4830000000002
106	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	669.9830000000002	3.0	672.982	8.5	CTL37	5.0	0.002	9.998999999999796	5.0	4.998999999999796	679.982	0.0	5.0	4.998999999999796	672.982
112	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	713.4789999999998	3.0	716.4789999999998	4.5	CTL38	8.0	1.496	24.997999999999596	12.498999999999796	12.498999999999796	738.4769999999994	1.0	12.498999999999796	12.498999999999796	716.4789999999998
113	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	720.9780000000002	3.0	723.9780000000002	0.5	CTL39	9.0	2.742	14.99800000000073	7.499000000000365	7.499000000000365	735.9760000000009	1.0	7.499000000000365	7.499000000000365	723.9780000000002
