trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	CorrectSource	Stim_RT	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
75	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	9.0	0.414	490.509	3.0	493.508	8.0	CTL23	6.998999999999967	3.5	3.498999999999967	497.508	0.0	3.5	3.498999999999967	493.508
76	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	6.0	0.665	501.508	3.0	504.50699999999983	3.0	CTL24	21.99799999999982	10.998999999999969	10.998999999999851	523.5059999999999	0.0	10.998999999999969	10.998999999999851	504.50699999999983
80	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	6.0	0.915	522.506	3.0	525.505	5.0	CTL25	13.999000000000024	7.0	6.999000000000024	536.505	0.0	7.0	6.999000000000024	525.505
82	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	82.0	6.0	0.7909999999999999	541.004	3.0	544.004	1.0	CTL26	20.998000000000047	10.499000000000024	10.499000000000024	562.0020000000001	0.0	10.499000000000024	10.499000000000024	544.004
83	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	9.0	0.696	545.004	3.0	548.003	1.5	CTL27	7.999000000000024	4.0	3.999000000000024	553.003	0.0	4.0	3.999000000000024	548.003
87	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	5.0	0.6920000000000001	562.502	3.0	565.502	1.0	CTL28	10.0	5.0	5.0	572.502	0.0	5.0	5.0	565.502
88	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	88.0	8.0	0.8390000000000001	566.502	3.0	569.501	5.0	CTL29	7.999000000000024	4.0	3.999000000000024	574.501	0.0	4.0	3.999000000000024	569.501
89	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	9.0	0.8440000000000001	574.501	3.0	577.501	2.0	CTL30	15.999000000000024	7.999000000000024	8.0	590.5	0.0	7.999000000000024	8.0	577.501
90	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	90.0	6.0	1.18	579.5	3.0	582.5	5.5	CTL31	9.998000000000047	4.999000000000024	4.999000000000024	589.498	0.0	4.999000000000024	4.999000000000024	582.5
92	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	92.0	5.0	0.909	591.499	3.0	594.499	8.0	CTL32	6.999000000000024	3.499000000000024	3.5	598.498	0.0	3.499000000000024	3.5	594.499
94	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	94.0	5.0	0.7240000000000001	606.498	3.0	609.498	0.5	CTL33	8.0	4.0	4.0	614.498	0.0	4.0	4.0	609.498
100	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	8.0	0.922	642.495	3.0	645.495	1.0	CTL34	7.0	3.5	3.5	649.495	0.0	3.5	3.5	645.495
103	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	103.0	8.0	0.638	656.493	3.0	659.493	2.0	CTL35	7.998000000000275	3.999000000000024	3.999000000000251	664.4910000000003	0.0	3.999000000000024	3.999000000000251	659.493
104	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	104.0	6.0	0.6659999999999999	661.493	3.0	664.493	0.5	CTL36	10.0	5.0	5.0	671.493	0.0	5.0	5.0	664.493
106	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	5.0	0.923	669.992	3.0	672.992	8.5	CTL37	9.99899999999991	4.99899999999991	5.0	679.9909999999999	0.0	4.99899999999991	5.0	672.992
112	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	112.0	8.0	0.652	713.488	3.0	716.488	4.5	CTL38	24.9970000000003	12.498000000000047	12.499000000000253	738.4850000000004	1.0	12.498000000000047	12.499000000000253	716.488
113	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	9.0	0.698	720.988	3.0	723.987	0.5	CTL39	14.99899999999991	7.5	7.49899999999991	735.987	1.0	7.5	7.49899999999991	723.987
