trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	CorrectSource	Stim_RT	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
68	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	9.0	0.564	405.75	3.0	408.759	2.0	CTL23	11.0	5.5	5.5	416.75	0.0	5.5	5.5	408.759
69	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	8.0	0.542	410.7480000000001	3.0	413.75699999999983	11.0	CTL24	9.995999999999924	4.998000000000104	4.99799999999982	420.744	0.0	4.998000000000104	4.99799999999982	413.75699999999983
75	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	9.0	0.7090000000000001	445.284	3.0	448.293	1.0	CTL25	9.99599999999998	4.997999999999991	4.997999999999991	455.28	0.0	4.997999999999991	4.997999999999991	448.293
76	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	5.0	0.721	449.28	3.0	452.289	2.0	CTL26	7.991999999999962	3.995999999999981	3.995999999999981	457.27199999999993	0.0	3.995999999999981	3.995999999999981	452.289
81	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	81.0	6.0	0.867	484.301	3.0	487.31	6.0	CTL27	8.024000000000001	4.0120000000000005	4.0120000000000005	492.325	0.0	4.0120000000000005	4.0120000000000005	487.31
83	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	83.0	6.0	0.847	497.8080000000001	3.0	500.817	13.0	CTL28	8.994000000000142	4.497000000000128	4.497000000000014	506.80200000000025	0.0	4.497000000000128	4.497000000000014	500.817
87	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	87.0	9.0	0.7809999999999999	533.297	3.0	536.306	1.5	CTL29	20.99600000000009	10.498000000000047	10.498000000000047	554.2930000000001	0.0	10.498000000000047	10.498000000000047	536.306
89	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	89.0	8.0	0.654	544.2959999999998	3.0	547.305	1.0	CTL30	13.005999999999744	6.502999999999815	6.502999999999929	557.3019999999996	0.0	6.502999999999815	6.502999999999929	547.305
91	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	91.0	8.0	0.7120000000000001	552.805	3.0	555.814	3.5	CTL31	8.993999999999915	4.496999999999957	4.496999999999957	561.7989999999999	0.0	4.496999999999957	4.496999999999957	555.814
93	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	93.0	5.0	0.544	566.813	3.0	569.822	3.0	CTL32	15.011999999999944	7.505999999999972	7.505999999999972	581.8249999999999	0.0	7.505999999999972	7.505999999999972	569.822
96	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	9.0	0.68	587.3240000000002	3.0	590.3330000000002	5.0	CTL33	21.99800000000016	10.999000000000136	10.999000000000024	609.3220000000003	0.0	10.999000000000136	10.999000000000024	590.3330000000002
97	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	97.0	9.0	0.481	595.331	3.0	598.34	0.5	CTL34	16.01399999999967	8.006999999999834	8.006999999999834	611.3449999999997	0.0	8.006999999999834	8.006999999999834	598.34
100	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	6.0	0.471	617.364	3.0	620.373	2.5	CTL35	29.019999999999985	14.509999999999993	14.509999999999993	646.384	0.0	14.509999999999993	14.509999999999993	620.373
106	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	106.0	6.0	0.721	642.873	3.0	645.882	7.5	CTL36	7.019999999999982	3.509999999999991	3.509999999999991	649.893	0.0	3.509999999999991	3.509999999999991	645.882
109	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	109.0	5.0	0.6920000000000001	674.885	3.0	677.8939999999999	1.0	CTL37	7.019999999999982	3.509999999999991	3.509999999999991	681.905	0.0	3.509999999999991	3.509999999999991	677.8939999999999
110	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	110.0	6.0	0.568	678.8969999999998	3.0	681.9060000000002	0.5	CTL38	8.024000000000115	4.01199999999983	4.012000000000285	686.9209999999999	0.0	4.01199999999983	4.012000000000285	681.9060000000002
113	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	9.0	0.836	703.42	3.0	706.429	10.0	CTL39	18.019999999999985	9.009999999999993	9.009999999999993	721.4399999999999	0.0	9.009999999999993	9.009999999999993	706.429
