0	1	2	3	4	5	6	7	8
46	enc	enc30	old58	encoding	228.146	fixation	231.155	4.5
47	enc	enc31	old06	encoding	235.652	fixation	238.661	3.5
48	enc	enc32	old74	encoding	242.154	fixation	245.163	8
49	enc	enc33	old20	encoding	253.154	fixation	256.163	9
50	enc	enc34	old16	encoding	265.157	fixation	268.166	0.5
51	ctl	ctl14	nan	control	268.667	fixation	271.676	2.5
52	enc	enc35	old69	encoding	274.167	fixation	277.176	8.5
53	enc	enc36	old11	encoding	285.668	fixation	288.677	0.5
54	enc	enc37	old07	encoding	289.178	fixation	292.187	5.5
55	enc	enc38	old52	encoding	297.687	fixation	300.696	3
56	ctl	ctl15	nan	control	303.688	fixation	306.697	4
57	ctl	ctl16	nan	control	310.693	fixation	313.702	6.5
58	enc	enc39	old57	encoding	320.204	fixation	323.213	0.5
59	enc	enc40	old54	encoding	323.715	fixation	326.724	11.5
60	enc	enc41	old78	encoding	338.225	fixation	341.234	9.5
61	ctl	ctl17	nan	control	350.729	fixation	353.738	1
62	enc	enc42	old53	encoding	354.741	fixation	357.75	5.5
63	enc	enc43	old21	encoding	363.25	fixation	366.259	1.5
64	enc	enc44	old35	encoding	367.746	fixation	370.755	1
65	ctl	ctl18	nan	control	371.742	fixation	374.751	2
66	enc	enc45	old18	encoding	376.74	fixation	379.749	3.5
67	enc	enc46	old38	encoding	383.243	fixation	386.252	1.5
68	ctl	ctl19	nan	control	387.739	fixation	390.748	0.5
69	ctl	ctl20	nan	control	391.25	fixation	394.259	2.5
70	ctl	ctl21	nan	control	396.75	fixation	399.759	0.5
71	ctl	ctl22	nan	control	400.26	fixation	403.269	2.5
72	ctl	ctl23	nan	control	405.76	fixation	408.769	2
73	ctl	ctl24	nan	control	410.758	fixation	413.767	11
74	enc	enc47	old34	encoding	424.767	fixation	427.776	1
75	enc	enc48	old13	encoding	428.779	fixation	431.788	1.5
76	enc	enc49	old47	encoding	433.276	fixation	436.285	0.5
77	enc	enc50	old45	encoding	436.786	fixation	439.795	0.5
78	enc	enc51	old12	encoding	440.297	fixation	443.306	2
79	ctl	ctl25	nan	control	445.295	fixation	448.304	1
80	ctl	ctl26	nan	control	449.307	fixation	452.316	2
81	enc	enc52	old49	encoding	454.305	fixation	457.314	4
82	enc	enc53	old63	encoding	461.309	fixation	464.318	4.5
83	enc	enc54	old41	encoding	468.815	fixation	471.824	8.5
84	enc	enc55	old60	encoding	480.316	fixation	483.325	1
85	ctl	ctl27	nan	control	484.311	fixation	487.32	6
86	enc	enc56	old36	encoding	493.322	fixation	496.331	1.5
87	ctl	ctl28	nan	control	497.818	fixation	500.827	13
88	enc	enc57	old61	encoding	513.816	fixation	516.825	1.5
89	enc	enc58	old68	encoding	518.313	fixation	521.322	1.5
90	enc	enc59	old59	encoding	522.81	fixation	525.819	7.5
91	ctl	ctl29	nan	control	533.308	fixation	536.317	1.5
92	enc	enc60	old64	encoding	537.805	fixation	540.814	3.5
93	ctl	ctl30	nan	control	544.307	fixation	547.316	1
94	enc	enc61	old02	encoding	548.303	fixation	551.312	1.5
95	ctl	ctl31	nan	control	552.799	fixation	555.808	3.5
96	enc	enc62	old27	encoding	559.302	fixation	562.311	4.5
97	ctl	ctl32	nan	control	566.808	fixation	569.817	3
98	enc	enc63	old71	encoding	572.809	fixation	575.818	0.5
99	enc	enc64	old66	encoding	576.32	fixation	579.329	8
100	ctl	ctl33	nan	control	587.319	fixation	590.328	5
101	ctl	ctl34	nan	control	595.326	fixation	598.335	0.5
102	enc	enc65	old76	encoding	598.837	fixation	601.846	1
103	enc	enc66	old75	encoding	602.849	fixation	605.858	11.5
104	ctl	ctl35	nan	control	617.359	fixation	620.368	2.5
105	enc	enc67	old01	encoding	622.859	fixation	625.868	2
106	enc	enc68	old04	encoding	627.857	fixation	630.866	0.5
107	enc	enc69	old30	encoding	631.367	fixation	634.376	1
108	enc	enc70	old48	encoding	635.363	fixation	638.372	1
109	enc	enc71	old29	encoding	639.375	fixation	642.384	0.5
110	ctl	ctl36	nan	control	642.885	fixation	645.894	7.5
111	enc	enc72	old14	encoding	653.383	fixation	656.392	15
112	enc	enc73	old72	encoding	671.387	fixation	674.396	0.5
113	ctl	ctl37	nan	control	674.898	fixation	677.907	1
114	ctl	ctl38	nan	control	678.91	fixation	681.919	0.5
115	enc	enc74	old50	encoding	682.42	fixation	685.429	9
116	enc	enc75	old42	encoding	694.423	fixation	697.432	6
117	ctl	ctl39	nan	control	703.433	fixation	706.442	10.5
118	enc	enc76	old15	encoding	716.94	fixation	719.949	5
119	enc	enc77	old31	encoding	724.947	fixation	727.956	1
120	enc	enc78	old26	encoding	728.942	fixation	731.951	18.5
