	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
81	520.5269999999998	3.0	523.526	1.5	False	CTL24	OLD	food_pickle01a.bmp	Old22	1	1	0.733	8	518
82	525.026	3.0	528.026	4.5	False	CTL25	OLD	kitchen_scrubbing brush.bmp	Old36	1	1	1.214	5	412
83	532.526	3.0	535.525	1.5	False	CTL26	New	kitchen_toaster_old.bmp	New30	1	2	1.176	5	412
84	537.025	3.0	540.025	0.5	Old54	Enc59	OLD	fruit_blackberry_new.bmp	Old66	1	1	1.325	8	2287
85	540.525	3.0	543.525	10.0	False	CTL27	OLD	animal_parrot.bmp	Old09	1	1	1.1840000000000002	9	1903
86	554.024	3.0	557.024	4.5	False	CTL28	New	food_pizza.bmp	New22	1	2	1.591	9	1903
87	561.523	3.0	564.523	2.0	Old58	Enc60	OLD	food_bottleofredwine01.bmp	Old15	1	1	1.036	6	401
88	566.523	3.0	569.523	1.5	False	CTL29	OLD	fruit_green grapes.bmp	Old68	0	2	1.071	6	401
89	571.023	3.0	574.0219999999998	12.0	Old01	Enc61	New	food_bread.bmp	New28	1	2	2.96	6	401
90	586.521	3.0	589.521	2.0	Old39	Enc62	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	1.902	5	432
91	591.521	3.0	594.521	1.0	Old68	Enc63	New	animal_pigeon.bmp	New32	1	2	1.237	5	432
92	595.521	3.0	598.52	4.0	False	CTL30	OLD	kitchen_martini glass.bmp	Old32	1	1	1.273	5	3100
93	602.52	3.0	605.52	0.5	Old72	Enc64	OLD	food_pecan02.bmp	Old21	1	1	1.933	8	2590
94	606.02	3.0	609.02	4.0	Old66	Enc65	OLD	sporting_rollerblade.bmp	Old62	1	1	1.107	9	405
95	613.019	3.0	616.019	3.5	Old67	Enc66	New	sporting_baseball bat_new.bmp	New08	1	2	1.9140000000000001	9	405
96	619.519	3.0	622.519	1.0	False	CTL31	OLD	vegie_garlic01a.bmp	Old74	1	1	3.21	6	1184
97	623.519	3.0	626.518	0.5	False	CTL32	OLD	food_frenchfries.bmp	Old20	1	1	1.054	5	418
98	627.018	3.0	630.018	2.5	Old06	Enc67	OLD	vegie_mushroom.bmp	Old76	0	2	1.222	5	418
99	632.518	3.0	635.518	0.5	False	CTL33	OLD	vegie_radish.bmp	Old77	1	1	1.105	5	571
100	636.018	3.0	639.0169999999998	9.0	False	CTL34	OLD	musical_harmonica_new.bmp	Old47	1	1	2.504	8	466
101	648.0169999999998	3.0	651.016	2.0	False	CTL35	New	musical_bagpipes.bmp	New35	1	2	3.252	8	466
102	653.016	3.0	656.0160000000002	0.5	Old07	Enc68	OLD	musical_clarinet_new.bmp	Old44	0	2	3.943	8	466
103	656.5160000000002	3.0	659.5160000000002	2.0	False	CTL36	OLD	musical_piano_old.bmp	Old48	1	1	2.998	8	604
104	661.515	3.0	664.515	4.5	False	CTL37	OLD	kitchen_big cooking pot.bmp	Old28	1	1	4.24	9	461
105	669.015	3.0	672.015	4.5	False	CTL38	New	vegie_snowpea01.bmp	New27	1	2	3.295	9	461
106	676.5139999999999	3.0	679.5139999999999	3.5	Old32	Enc69	New	kitchen_baking spatula.bmp	New01	1	2	1.639	9	461
107	683.0139999999999	3.0	686.0139999999999	1.5	Old44	Enc70	OLD	animal_penguin.bmp	Old10	1	1	2.155	6	755
108	687.513	3.0	690.513	4.5	Old34	Enc71	OLD	food_cracker02.bmp	Old18	1	1	1.649	9	517
109	695.0139999999999	3.0	698.013	0.5	Old15	Enc72	OLD	sporting_footballhelmet.bmp	Old57	1	1	1.903	5	649
110	698.513	3.0	701.512	0.5	Old73	Enc73	OLD	sporting_karate clothing.bmp	Old60	0	2	5.02	5	649
111	702.012	3.0	705.012	5.0	False	CTL39	OLD	food_softcheese.bmp	Old24	1	1	2.0	9	886
112	710.012	3.0	713.0110000000002	4.5	Old41	Enc74	OLD	animal_zebra_old.bmp	Old13	1	1	0.998	8	492
113	717.5110000000002	3.0	720.5110000000002	5.5	Old51	Enc75	OLD	sporting_bicycle_old.bmp	Old55	0	2	1.222	8	492
114	726.01	3.0	729.01	1.0	Old19	Enc76	New	food_cookie01.bmp	New11	1	2	1.906	8	492
115	730.01	3.0	733.01	0.5	Old35	Enc77	New	musical_uculele_new.bmp	New39	1	2	5.888999999999999	8	492
116	733.51	3.0	736.51	13.0	Old16	Enc78	OLD	musical_xylophone_old.bmp	Old52	1	1	1.123	9	444
