0	1	2	3	4	5	6	7	8
78	enc	enc55	old53	encoding	470.21	fixation	473.219	1.5
79	enc	enc56	old32	encoding	474.707	fixation	477.716	2.5
80	ctl	ctl21	nan	control	480.206	fixation	483.215	5.5
81	enc	enc57	old58	encoding	488.715	fixation	491.724	4.5
82	ctl	ctl22	nan	control	496.221	fixation	499.23	2.5
83	enc	enc58	old69	encoding	501.721	fixation	504.73	6.5
84	ctl	ctl23	nan	control	511.233	fixation	514.242	6.5
85	ctl	ctl24	nan	control	520.744	fixation	523.753	1.5
86	ctl	ctl25	nan	control	525.241	fixation	528.25	4.5
87	ctl	ctl26	nan	control	532.747	fixation	535.756	1.5
88	enc	enc59	old60	encoding	537.244	fixation	540.253	0.5
89	ctl	ctl27	nan	control	540.754	fixation	543.763	10.5
90	ctl	ctl28	nan	control	554.261	fixation	557.27	4.5
91	enc	enc60	old61	encoding	561.767	fixation	564.776	2
92	ctl	ctl29	nan	control	566.765	fixation	569.774	1.5
93	enc	enc61	old04	encoding	571.262	fixation	574.271	12.5
94	enc	enc62	old36	encoding	586.758	fixation	589.767	2
95	enc	enc63	old73	encoding	591.757	fixation	594.766	1
96	ctl	ctl30	nan	control	595.769	fixation	598.778	4
97	enc	enc64	old67	encoding	602.773	fixation	605.782	0.5
98	enc	enc65	old75	encoding	606.283	fixation	609.292	4
99	enc	enc66	old78	encoding	613.288	fixation	616.297	3.5
100	ctl	ctl31	nan	control	619.791	fixation	622.8	1
101	ctl	ctl32	nan	control	623.803	fixation	626.812	0.5
102	enc	enc67	old01	encoding	627.313	fixation	630.322	2.5
103	ctl	ctl33	nan	control	632.813	fixation	635.822	0.5
104	ctl	ctl34	nan	control	636.323	fixation	639.332	9
105	ctl	ctl35	nan	control	648.326	fixation	651.335	2
106	enc	enc68	old12	encoding	653.324	fixation	656.333	0.5
107	ctl	ctl36	nan	control	656.835	fixation	659.844	2
108	ctl	ctl37	nan	control	661.833	fixation	664.842	4.5
109	ctl	ctl38	nan	control	669.339	fixation	672.348	4.5
110	enc	enc69	old31	encoding	676.845	fixation	679.854	3.5
111	enc	enc70	old49	encoding	683.347	fixation	686.356	1.5
112	enc	enc71	old28	encoding	687.844	fixation	690.853	4.5
113	enc	enc72	old26	encoding	695.35	fixation	698.359	0.5
114	enc	enc73	old76	encoding	698.86	fixation	701.869	0.5
115	ctl	ctl39	nan	control	702.371	fixation	705.38	5
116	enc	enc74	old45	encoding	710.378	fixation	713.387	4.5
117	enc	enc75	old52	encoding	717.884	fixation	720.893	5.5
118	enc	enc76	old25	encoding	726.393	fixation	729.402	1
119	enc	enc77	old34	encoding	730.405	fixation	733.414	0.5
120	enc	enc78	old19	encoding	733.915	fixation	736.924	13.5
